name,popularity,followers
Cheung,28,24252
Mademoiselle,31,44290
Thịnh Suy,48,280375
TRANG,41,77103
Tùng,32,26810
Minh Đinh,27,14373
Haisam,34,61049
Vũ Thanh Vân,32,13230
Kiên Trịnh,38,38110
Cá Hồi Hoang,38,134924
Thành Luke,22,21740
MINH,30,12895
The Flob,25,15799
Chủ Tịch Kim,27,12198
The Cassette,28,10429
Ngọt,43,351387
Những Đứa Trẻ,22,20851
Trang Hàn,28,23150
Thái Đinh,40,184375
Thành Đồng,37,3854
7UPPERCUTS,32,29841
Quai Vat Ti Hon,20,23664
Mèow Lạc,18,2189
Thoại 004,18,5142
Madihu,45,47816
Raditori,15,2593
Pixel Neko,34,10983
Tiên Fami,31,10722
Đá Số Tới,21,6510
WEAN,37,126568
Thế Bảo,27,1633
NamKun,11,809
Huy Lê,19,3555
Pink Frog,26,6168
Minh Tốc & Lam,25,1898
XIN,20,753
Bệt Band,22,1342
Mer,30,1485
WHEE!,32,2156
CHARLES.,28,8842
SIVAN,34,1299
The Sheep,35,25592
Astronormous,7,230
Naomi,29,2053
Sweepy,2,259
Kim Chi Sun,24,3426
Mona Evie,12,830
Gác Mái,6,15966
Xanh 8+1,7,4457
Lena,35,10048
Minh Cà Ri,25,674
Trinh,30,1176
Vinh Khuat,30,10481
Đinh Uyên,3,43
Phạm Toàn Thắng,17,1337
Nắng,8,5538
14 Casper,41,3734
HUB,4,1101
MAI,22,3234
Deus Tiến Đạt,30,1806
Hào,27,1755
Lê Cát Trọng Lý,33,82392
Quyech,13,2656
marzuz,21,2488
